date,value
2025-01-01,53
2025-01-02,56
2025-01-03,45
2025-01-04,45
2025-01-05,51
2025-01-06,50
2025-01-07,51
2025-01-08,54
2025-01-09,52
2025-01-10,49
2025-01-11,39
2025-01-12,38
2025-01-13,58
2025-01-14,47
2025-01-15,50
2025-01-16,46
2025-01-17,52
2025-01-18,51
2025-01-19,70
2025-01-20,97
2025-01-21,68
2025-01-22,49
2025-01-23,53
2025-01-24,43
2025-01-25,35
2025-01-26,35
2025-01-27,53
2025-01-28,35
2025-01-29,33
2025-01-30,37
2025-01-31,41
2025-02-01,38
2025-02-02,55
2025-02-03,100
2025-02-04,58
2025-02-05,43
2025-02-06,45
2025-02-07,43
2025-02-08,35
2025-02-09,38
2025-02-10,35
2025-02-11,37
2025-02-12,43
2025-02-13,37
2025-02-14,37
2025-02-15,32
2025-02-16,32
2025-02-17,37
2025-02-18,37
2025-02-19,37
2025-02-20,42
2025-02-21,41
2025-02-22,33
2025-02-23,33
2025-02-24,49
2025-02-25,87
2025-02-26,62
2025-02-27,54
2025-02-28,79
2025-03-01,44
2025-03-02,56
2025-03-03,71
2025-03-04,65
2025-03-05,50
2025-03-06,39
2025-03-07,53
2025-03-08,35
2025-03-09,47
2025-03-10,58
2025-03-11,50
2025-03-12,40
2025-03-13,35
2025-03-14,36
2025-03-15,29
2025-03-16,34
2025-03-17,37
2025-03-18,38
2025-03-19,33
2025-03-20,32
2025-03-21,31
2025-03-22,27
2025-03-23,29
2025-03-24,36
2025-03-25,33
2025-03-26,28
2025-03-27,28
2025-03-28,31
2025-03-29,25
2025-03-30,26
2025-03-31,35
2025-04-01,43
2025-04-02,53
2025-04-03,55
2025-04-04,60
2025-04-05,45
2025-04-06,66
2025-04-07,100
2025-04-08,60
2025-04-09,74
2025-04-10,57
2025-04-11,53
2025-04-12,50
2025-04-13,55
2025-04-14,53
2025-04-15,50
2025-04-16,51
2025-04-17,41
2025-04-18,40
2025-04-19,41
2025-04-20,43
2025-04-21,52
2025-04-22,58
2025-04-23,55
2025-04-24,45
2025-04-25,53
2025-04-26,43
2025-04-27,40
2025-04-28,42
2025-04-29,42
2025-04-30,40
2025-05-01,51
2025-05-02,49
2025-05-03,36
2025-05-04,42
2025-05-05,44
2025-05-06,45
2025-05-07,42
2025-05-08,74
2025-05-09,65
2025-05-10,59
2025-05-11,60
2025-05-12,64
2025-05-13,60
2025-05-14,56
2025-05-15,55
2025-05-16,44
2025-05-17,45
2025-05-18,55
2025-05-19,52
2025-05-20,48
2025-05-21,68
2025-05-22,91
2025-05-23,64
