Date,nav_true,etf_true
2024-01-12,24.937463,24.96999931335449
2024-01-16,24.618594,24.71999931335449
2024-01-17,24.308578,24.40999984741211
2024-01-18,23.321328,23.34000015258789
2024-01-19,23.871035,23.799999237060547
2024-01-22,22.855537,22.950000762939453
2024-01-23,22.355273,22.31999969482422
2024-01-24,22.659142,22.600000381469727
2024-01-25,22.694188,22.76000022888184
2024-01-26,23.936502,23.989999771118164
2024-01-29,24.55135,24.670000076293945
2024-01-30,24.849028,24.8799991607666
2024-01-31,24.412126,24.299999237060547
2024-02-01,24.530463,24.540000915527344
2024-02-02,24.497464,24.5
2024-02-05,24.178856,24.190000534057617
2024-02-06,24.584639,24.600000381469727
2024-02-07,25.085376,25.21999931335449
2024-02-08,25.902646,26.030000686645508
2024-02-09,27.13434,27.149999618530277
2024-02-12,28.475364,28.65999984741211
2024-02-13,28.081808,28.21999931335449
2024-02-14,29.51254,29.549999237060547
2024-02-15,29.541732,29.520000457763672
2024-02-16,29.532759,29.6200008392334
2024-02-20,29.68105,29.670000076293945
2024-02-21,29.073762,29.07999992370605
2024-02-22,29.49653,29.71999931335449
2024-02-23,29.086548,29.15999984741211
2024-02-26,31.067755,31.1200008392334
2024-02-27,32.512334,32.59000015258789
2024-02-28,34.387427,34.45000076293945
2024-02-29,35.359106,35.41999816894531
2024-03-01,35.653998,35.9900016784668
2024-03-04,38.471495,38.650001525878906
2024-03-05,35.572641,35.31999969482422
2024-03-06,38.268082,38.290000915527344
2024-03-07,38.644503,38.630001068115234
2024-03-08,39.469535,39.54999923706055
2024-03-11,41.265843,41.119998931884766
2024-03-12,40.737892,40.72999954223633
2024-03-13,41.65531,41.95000076293945
2024-03-14,39.606971,39.5099983215332
2024-03-15,39.723638,39.38999938964844
2024-03-18,38.261355,38.13999938964844
2024-03-19,36.876506,36.70000076293945
2024-03-20,37.335139,37.54999923706055
2024-03-21,37.172811,37.150001525878906
2024-03-22,36.328576,36.40999984741211
2024-03-25,40.317698,40.54999923706055
2024-03-26,39.746238,39.630001068115234
2024-03-27,39.10122,39.130001068115234
2024-03-28,40.304432,40.470001220703125
2024-03-29,40.304432,40.11000061035156
2024-04-01,39.488238,39.75
2024-04-02,37.618714,37.59999847412109
2024-04-03,37.530927,37.540000915527344
2024-04-04,39.136822,39.08000183105469
2024-04-05,38.602085,38.40999984741211
2024-04-08,40.902156,40.95000076293945
2024-04-09,39.228002,39.33000183105469
2024-04-10,39.610443,40.0
2024-04-11,40.021102,40.16999816894531
2024-04-12,38.063412,38.13999938964844
2024-04-15,35.982819,36.08000183105469
2024-04-16,35.807544,35.75
2024-04-17,34.790992,34.7599983215332
2024-04-18,36.082117,36.209999084472656
2024-04-19,36.594688,36.66999816894531
2024-04-22,37.795645,37.93000030517578
2024-04-23,37.923331,37.900001525878906
2024-04-24,36.566707,36.40999984741211
2024-04-25,36.810411,36.86000061035156
2024-04-26,36.38796,36.31999969482422
2024-04-29,35.707196,35.869998931884766
2024-04-30,34.138481,33.56999969482422
2024-05-01,32.974669,32.38999938964844
2024-05-02,33.702299,33.79999923706055
2024-05-03,35.181455,35.400001525878906
2024-05-06,35.912156,36.0099983215332
2024-05-07,35.947288,35.93000030517578
2024-05-08,35.458644,35.380001068115234
2024-05-09,35.486377,35.58000183105469
2024-05-10,34.545171,34.58000183105469
2024-05-13,35.87109,36.0
2024-05-14,35.021919,35.06999969482422
2024-05-15,37.544113,37.66999816894531
2024-05-16,37.182694,37.150001525878906
2024-05-17,38.082926,38.27999877929688
2024-05-20,39.494151,39.970001220703125
2024-05-21,39.616216,39.470001220703125
2024-05-22,39.634772,39.709999084472656
2024-05-23,38.341216,38.27000045776367
2024-05-24,39.248787,39.459999084472656
2024-05-28,38.829972,38.97999954223633
2024-05-29,38.381088,38.31999969482422
2024-05-30,39.257739,39.15999984741211
2024-05-31,38.425468,38.54999923706055
2024-06-03,39.348374,39.43999862670898
2024-06-04,40.122064,40.16999816894531
2024-06-05,40.476104,40.66999816894531
2024-06-06,40.315738,40.15999984741211
2024-06-07,39.3304,39.41999816894531
2024-06-10,39.645887,39.59000015258789
2024-06-11,38.297925,38.43000030517578
2024-06-12,38.947347,38.45000076293945
2024-06-13,37.973556,37.900001525878906
2024-06-14,37.248632,37.29999923706055
2024-06-17,38.010353,37.97999954223633
2024-06-18,36.662937,36.63999938964844
2024-06-20,36.976953,37.040000915527344
2024-06-21,36.459115,36.58000183105469
2024-06-24,34.131683,33.76499938964844
2024-06-25,35.273396,35.29999923706055
2024-06-26,34.617598,34.709999084472656
2024-06-27,35.004683,34.97999954223633
2024-06-28,34.343962,34.13999938964844
2024-07-01,36.036878,36.0
2024-07-02,35.288525,35.220001220703125
2024-07-03,34.101591,34.439998626708984
2024-07-05,32.180919,32.20000076293945
2024-07-08,32.056337,32.15999984741211
2024-07-09,32.889897,32.959999084472656
2024-07-10,32.708434,32.66999816894531
2024-07-11,32.769745,32.70000076293945
2024-07-12,32.976119,32.849998474121094
2024-07-15,36.187272,36.150001525878906
2024-07-16,36.96416,37.16999816894531
2024-07-17,36.790356,36.84000015258789
2024-07-18,36.151944,36.220001220703125
2024-07-19,38.223136,38.400001525878906
2024-07-22,38.614564,38.93000030517578
2024-07-23,37.470087,37.34000015258789
2024-07-24,37.496918,37.41999816894531
2024-07-25,36.847753,36.83000183105469
2024-07-26,38.599186,38.790000915527344
2024-07-29,38.361841,38.34000015258789
2024-07-30,37.434463,37.54999923706055
2024-07-31,37.480653,37.18000030517578
2024-08-01,35.977455,36.06999969482422
2024-08-02,35.678531,35.61000061035156
2024-08-05,30.235834,30.479999542236328
2024-08-06,32.256835,32.34000015258789
2024-08-07,31.259338,31.190000534057617
2024-08-08,33.965716,33.880001068115234
