Date,Unique Addresses,Number of Transactions,Hash Rate (TH/s),Total Bitcoins in Circulation,Output Volume (BTC),Search Interest
2024-05-29,449070,725428,574663654.8,19705196.88,717712.5178,35
2024-05-30,499634,510417,515938901.7,19705196.88,714630.5405,35
2024-05-31,528690,701471,620804532.2,19705750.0,850516.0998,32
2024-06-03,482689,769224,658556159.1,19707409.38,908664.9577,35
2024-06-04,492874,627980,562079779.1,19707965.63,856833.8321,37
2024-06-05,460473,562049,515938901.7,19707965.63,998685.7394,42
2024-06-06,476121,613472,554910858.1,19708518.75,775250.5133,37
2024-06-07,468301,263982,590944003.0,19709071.88,680416.2605,39
2024-06-10,473053,658037,578459270.5,19710178.13,679422.5458,34
2024-06-11,485989,463737,511874030.7,19710731.25,827148.9418,39
2024-06-12,483313,690560,607590312.9,19711284.38,674759.9276,37
2024-06-13,469602,731254,603428735.4,19711840.63,580183.992,35
2024-06-14,475827,604349,532681918.2,19711840.63,729399.2524,35
2024-06-17,433551,441215,582620848.0,19713506.25,758472.3915,35
2024-06-18,484883,617202,632559777.8,19714062.5,821008.826,37
2024-06-20,465205,532756,553323137.1,19714615.63,628069.2379,28
2024-06-21,514658,592843,582332779.0,19715175.0,690343.1011,27
2024-06-24,456565,528326,632247017.2,19716287.5,925990.5734,37
2024-06-25,441214,536347,515780461.4,19716846.88,623516.0019,32
2024-06-26,476277,490817,503301901.9,19717412.5,715028.2461,29
2024-06-27,501018,414624,540737580.5,19717412.5,1233709.858,27
2024-06-28,562499,593984,561535179.8,19717971.88,769974.2815,27
2024-07-01,650451,611062,586492298.9,19719637.5,664824.9094,27
2024-07-02,511492,592285,615608937.8,19719637.5,634181.7303,26
2024-07-03,503996,545044,603130378.3,19720190.63,737649.9032,28
2024-07-05,510689,490537,481691507.2,19721303.13,985468.7603,45
2024-07-08,534832,593010,628324687.4,19722428.13,935000.1552,37
2024-07-09,499299,654037,608566049.4,19722981.25,824292.2881,32
2024-07-10,460604,631745,537434952.8,19723534.38,844390.2236,31
2024-07-11,487442,642066,553241863.1,19724087.5,797491.724,34
2024-07-12,486027,658355,592759139.1,19724643.75,737689.7545,33
2024-07-15,482490,552901,604614321.8,19725759.38,949798.7348,37
2024-07-16,492843,529056,580903956.3,19726312.5,1134659.537,39
2024-07-17,476281,615870,628324687.4,19726868.75,829500.0766,34
2024-07-18,481360,445574,515102118.2,19727421.88,533194.4691,31
2024-07-19,510414,507940,599556361.5,19727978.13,771739.4506,35
2024-07-22,504554,824999,730072032.1,19729090.63,815937.4946,35
2024-07-23,480641,838977,689285885.0,19729656.25,973410.9132,36
2024-07-24,484767,596458,571006058.6,19730212.5,745063.0967,33
2024-07-25,529053,719711,664814196.8,19730768.75,751925.9667,34
2024-07-26,529294,459067,652578352.7,19731325.0,601086.6006,33
2024-07-29,543529,826129,725993417.4,19733000.0,896257.3144,41
2024-07-30,500916,683096,611792205.6,19733000.0,972379.7669,35
2024-07-31,542141,562819,613215974.0,19733553.13,997889.2028,29
2024-08-01,550192,544430,630987880.0,19734106.25,788137.9786,31
2024-08-02,531291,410113,563382035.7,19734665.63,1120076.901,32
2024-08-05,572484,548857,703100780.5,19735778.13,1370350.95,100
2024-08-06,502085,485173,630987880.0,19736331.25,978189.0009,57
2024-08-07,483579,380097,549860866.8,19736890.63,937516.468,43
2024-08-08,541524,487399,581410260.8,19736890.63,859135.9292,39
2024-08-09,505594,396419,585917317.1,19737456.25,892589.6715,36
2024-08-12,459444,450024,617466711.1,19739118.75,833850.8439,35
2024-08-13,499256,579618,671551386.5,19739118.75,896759.4994,33
2024-08-14,514603,504701,594742777.8,19739675.0,923991.5116,31
2024-08-15,517110,660924,690944705.8,19740228.13,714878.2601,34
2024-08-16,541657,575811,613213426.4,19740784.38,701799.7185,30
2024-08-19,479794,553394,561392573.5,19741893.75,849720.3537,29
2024-08-20,522795,717337,647760661.7,19742446.88,830009.6634,31
2024-08-21,528523,687685,634805448.5,19743000.0,781119.8392,30
2024-08-22,529070,795102,690944705.8,19743553.13,765833.8691,29
2024-08-23,531334,799839,708218323.4,19744106.25,896157.7622,33
2024-08-26,467689,600722,578666191.1,19745218.75,772019.249,30
2024-08-27,500316,673811,613213426.4,19745775.0,1105505.365,30
2024-08-28,507535,733530,703794017.4,19746334.38,998514.3398,32
2024-08-29,537264,524362,587091196.6,19746890.63,776508.8093,28
2024-08-30,572225,542101,631567802.4,19746890.63,722284.1211,28
2024-09-03,532190,582751,662701426.5,19749140.63,981662.621,27
2024-09-04,517981,722736,671596747.6,19749725.0,939135.978,28
2024-09-05,539154,721251,689387389.9,19749725.0,843929.2857,28
2024-09-06,541499,667267,644910784.1,19750281.25,909143.9494,34
2024-09-09,484357,572398,644910784.1,19751953.13,900739.6685,30
2024-09-10,496236,568630,609329499.5,19752512.5,1390978.75,27
