date,value
2023-04-21,69
2023-04-22,62
2023-04-23,58
2023-04-24,68
2023-04-25,64
2023-04-26,74
2023-04-27,66
2023-04-28,60
2023-04-29,59
2023-04-30,56
2023-05-01,86
2023-05-02,78
2023-05-03,80
2023-05-04,77
2023-05-05,75
2023-05-06,68
2023-05-07,72
2023-05-08,87
2023-05-09,80
2023-05-10,82
2023-05-11,81
2023-05-12,81
2023-05-13,68
2023-05-14,62
2023-05-15,70
2023-05-16,68
2023-05-17,68
2023-05-18,72
2023-05-19,68
2023-05-20,63
2023-05-21,63
2023-05-22,69
2023-05-23,73
2023-05-24,68
2023-05-25,69
2023-05-26,68
2023-05-27,61
2023-05-28,66
2023-05-29,70
2023-05-30,69
2023-05-31,70
2023-06-01,70
2023-06-02,69
2023-06-03,62
2023-06-04,61
2023-06-05,81
2023-06-06,86
2023-06-07,74
2023-06-08,71
2023-06-09,67
2023-06-10,78
2023-06-11,74
2023-06-12,73
2023-06-13,71
2023-06-14,72
2023-06-15,81
2023-06-16,75
2023-06-17,69
2023-06-18,66
2023-06-19,65
2023-06-20,76
2023-06-21,100
2023-06-22,97
2023-06-23,95
2023-06-24,84
2023-06-25,79
2023-06-26,83
2023-06-27,81
2023-06-28,81
2023-06-29,80
2023-06-30,86
2023-07-01,73
2023-07-02,74
2023-07-03,82
2023-07-04,82
2023-07-05,77
2023-07-06,81
2023-07-07,77
2023-07-08,70
2023-07-09,73
2023-07-10,77
2023-07-11,79
2023-07-12,78
2023-07-13,84
2023-07-14,94
2023-07-15,77
2023-07-16,74
2023-07-17,78
2023-07-18,75
2023-07-19,76
2023-07-20,77
2023-07-21,72
2023-07-22,63
2023-07-23,65
2023-07-24,77
2023-07-25,74
2023-07-26,73
2023-07-27,72
2023-07-28,72
2023-07-29,65
2023-07-30,67
2023-07-31,69
2023-08-01,42
2023-08-02,45
2023-08-03,43
2023-08-04,43
2023-08-05,41
2023-08-06,40
2023-08-07,40
2023-08-08,44
2023-08-09,45
2023-08-10,43
2023-08-11,42
2023-08-12,39
2023-08-13,38
2023-08-14,42
2023-08-15,42
2023-08-16,43
2023-08-17,52
2023-08-18,72
2023-08-19,53
2023-08-20,45
2023-08-21,48
2023-08-22,49
2023-08-23,48
2023-08-24,44
2023-08-25,44
2023-08-26,40
2023-08-27,41
2023-08-28,42
2023-08-29,52
2023-08-30,49
2023-08-31,44
2023-09-01,46
2023-09-02,40
2023-09-03,39
2023-09-04,39
2023-09-05,43
2023-09-06,42
2023-09-07,41
2023-09-08,42
2023-09-09,39
2023-09-10,38
2023-09-11,40
2023-09-12,43
2023-09-13,41
2023-09-14,39
2023-09-15,40
2023-09-16,35
2023-09-17,35
2023-09-18,42
2023-09-19,39
2023-09-20,39
2023-09-21,39
2023-09-22,38
2023-09-23,35
2023-09-24,33
2023-09-25,38
2023-09-26,38
2023-09-27,38
2023-09-28,39
2023-09-29,38
2023-09-30,35
2023-10-01,37
2023-10-02,46
2023-10-03,40
2023-10-04,40
2023-10-05,37
2023-10-06,37
2023-10-07,36
2023-10-08,34
2023-10-09,41
2023-10-10,39
2023-10-11,40
2023-10-12,38
2023-10-13,38
2023-10-14,35
2023-10-15,35
2023-10-16,46
2023-10-17,45
2023-10-18,44
2023-10-19,42
2023-10-20,52
2023-10-21,46
2023-10-22,44
2023-10-23,61
2023-10-24,100
2023-10-25,72
2023-10-26,65
2023-10-27,55
2023-10-28,49
2023-10-29,47
2023-10-30,52
2023-10-31,50
2023-11-01,33
2023-11-02,39
2023-11-03,36
2023-11-04,30
2023-11-05,30
2023-11-06,32
2023-11-07,34
2023-11-08,32
2023-11-09,45
2023-11-10,42
2023-11-11,35
2023-11-12,33
2023-11-13,35
2023-11-14,36
2023-11-15,35
2023-11-16,33
2023-11-17,32
2023-11-18,33
2023-11-19,28
2023-11-20,34
2023-11-21,32
2023-11-22,34
2023-11-23,31
2023-11-24,33
2023-11-25,29
2023-11-26,28
2023-11-27,30
2023-11-28,29
2023-11-29,30
2023-11-30,29
2023-12-01,32
2023-12-02,32
2023-12-03,34
2023-12-04,59
2023-12-05,56
2023-12-06,52
2023-12-07,45
2023-12-08,44
2023-12-09,40
2023-12-10,36
2023-12-11,45
2023-12-12,38
2023-12-13,39
2023-12-14,39
2023-12-15,36
2023-12-16,32
2023-12-17,32
2023-12-18,36
2023-12-19,38
2023-12-20,38
2023-12-21,39
2023-12-22,37
2023-12-23,35
2023-12-24,34
2023-12-25,33
2023-12-26,36
2023-12-27,40
2023-12-28,38
2023-12-29,36
2023-12-30,32
2023-12-31,30
2024-01-01,34
2024-01-02,52
2024-01-03,61
2024-01-04,48
2024-01-05,50
2024-01-06,39
2024-01-07,40
2024-01-08,55
2024-01-09,62
2024-01-10,91
2024-01-11,100
2024-01-12,66
2024-01-13,50
2024-01-14,42
2024-01-15,45
2024-01-16,42
2024-01-17,37
2024-01-18,39
2024-01-19,41
2024-01-20,33
2024-01-21,30
2024-01-22,39
2024-01-23,43
2024-01-24,36
2024-01-25,35
2024-01-26,34
2024-01-27,29
2024-01-28,28
2024-01-29,30
2024-01-30,33
2024-01-31,30
