Date,Output Volume (BTC)
2023-12-28,699797.5575179269
2023-12-29,814091.9117819318
2023-12-30,623064.0192605776
2023-12-31,576558.8346982774
2024-01-01,531084.150002183
2024-01-02,849250.0971626521
2024-01-03,859376.1049896787
2024-01-04,1054460.9662835132
2024-01-05,786108.938876529
2024-01-06,562957.5240340626
2024-01-07,574159.1902165897
2024-01-08,847723.8606858483
2024-01-09,1141429.2030418406
2024-01-10,1314482.10716057
2024-01-11,1151912.7137586211
2024-01-12,1449244.7128505434
2024-01-13,710384.3723402618
2024-01-14,505892.7215943405
2024-01-15,707262.5146202807
2024-01-16,921548.5755652138
2024-01-17,1212120.6624939681
2024-01-18,1135734.6767541606
2024-01-19,943842.3750005119
2024-01-20,531929.0963277022
2024-01-21,569630.8010361745
2024-01-22,1101199.699350643
2024-01-23,975329.3845440863
2024-01-24,1109813.94372324
2024-01-25,1011347.0135909269
2024-01-26,1068360.6572443764
2024-01-27,644834.4978352997
2024-01-28,453363.43079407635
2024-01-29,914777.7265904123
2024-01-30,1131865.1352119178
2024-01-31,1364459.5450457225
2024-02-01,979837.4399123548
2024-02-02,855293.3445844336
2024-02-03,598002.5880065892
2024-02-04,543747.42923018
2024-02-05,848422.4388140986
2024-02-06,931934.0951972706
2024-02-07,845276.0410852857
2024-02-08,960367.871170754
2024-02-09,1044842.7979372651
2024-02-10,628824.7202395606
2024-02-11,637272.3414517256
2024-02-12,972033.8426406131
2024-02-13,1073805.9426457302
2024-02-14,1231205.9039881432
2024-02-15,977279.7990115773
2024-02-16,935832.0518549574
2024-02-17,559779.518774678
2024-02-18,575882.3368064534
2024-02-19,829201.649221486
2024-02-20,999200.0462741652
2024-02-21,1026772.2064864694
2024-02-22,915552.6325839016
2024-02-23,800371.3236551008
2024-02-24,533906.6236928316
2024-02-25,540581.5104896213
2024-02-26,971510.2018384471
2024-02-27,1246634.4317713974
2024-02-28,1541489.9500146739
2024-02-29,1357774.0425646154
2024-03-01,1184688.5218418953
2024-03-02,597338.5521600866
2024-03-03,637045.2390227353
2024-03-04,1219310.001088403
2024-03-05,1677292.222257344
2024-03-06,1421341.4847051913
2024-03-07,1244924.7770505026
2024-03-08,1202203.516032886
2024-03-09,678901.1819126946
2024-03-10,724387.0443092716
2024-03-11,1357921.6182553242
2024-03-12,1382859.4734645602
2024-03-13,1627008.3209837596
2024-03-14,1276449.595494698
2024-03-15,1154363.7750182091
2024-03-16,633026.2899487747
2024-03-17,685357.2176875502
2024-03-18,961901.2760127294
2024-03-19,1101740.7936961667
2024-03-20,1108934.467963165
2024-03-21,871242.750582892
2024-03-22,880810.1617420147
2024-03-23,716711.751343478
2024-03-24,513831.8262454762
2024-03-25,1250324.7156639514
2024-03-26,1161761.7147320576
2024-03-27,986508.1232951462
2024-03-28,973794.8752496778
2024-03-29,923032.0879918453
2024-03-30,521174.1482708109
2024-03-31,456585.3620824828
2024-04-01,1263750.226032886
2024-04-02,1089895.5793250247
2024-04-03,909993.117184391
2024-04-04,864699.4180967722
2024-04-05,962527.0773917839
2024-04-06,598971.9242774997
2024-04-07,554943.0491644463
2024-04-08,982666.1872262182
2024-04-09,837041.0116765995
2024-04-10,773781.9075290214
2024-04-11,814237.4967663351
2024-04-12,798696.518338781
2024-04-13,639675.4301236746
2024-04-14,671643.7468091047
2024-04-15,938408.6540706649
2024-04-16,1028539.245072605
2024-04-17,997095.9200815054
2024-04-18,989107.8511690224
2024-04-19,811798.4458473901
2024-04-20,385320.26131779834
2024-04-21,478617.15256393916
2024-04-22,694754.651477748
2024-04-23,734569.3476622122
2024-04-24,786167.0132848818
2024-04-25,623466.7653213254
2024-04-26,775414.5050077859
2024-04-27,556508.2032154301
2024-04-28,564091.449594405
2024-04-29,772271.543126716
2024-04-30,951488.341027611
2024-05-01,885510.477641098
2024-05-02,737934.5485675323
2024-05-03,690669.3956427871
2024-05-04,453619.31428210885
2024-05-05,443545.86579670844
2024-05-06,672642.9736580598
2024-05-07,699999.1728698713
2024-05-08,666491.1822600901
2024-05-09,699636.2332559319
2024-05-10,707254.0318148361
2024-05-11,434192.2329474505
2024-05-12,493696.6102884302
2024-05-13,772143.4784021802
2024-05-14,693098.2529934052
2024-05-15,837756.1477849804
2024-05-16,884191.8645504088
2024-05-17,833209.9909068157
2024-05-18,531982.4311212555
2024-05-19,541525.7763579146
2024-05-20,806174.3340875941
2024-05-21,983217.5757719927
2024-05-22,766462.853981051
2024-05-23,650563.4271773113
2024-05-24,641425.4503193916
2024-05-25,362406.7179701254
2024-05-26,510608.8992151619
2024-05-27,574537.6935324619
2024-05-28,1030833.9823394106
2024-05-29,717712.5177684043
2024-05-30,714630.5404810873
2024-05-31,850516.0998206746
2024-06-01,433918.7695938534
2024-06-02,582840.2343406326
2024-06-03,908664.9577310736
2024-06-04,856833.8320920762
2024-06-05,998685.739414939
2024-06-06,775250.5133083627
2024-06-07,680416.2605223764
2024-06-08,509698.922983565
2024-06-09,414392.0460083305
2024-06-10,679422.5458353678
2024-06-11,827148.9417821423
2024-06-12,674759.9275755116
2024-06-13,580183.9919652672
2024-06-14,729399.2524299124
2024-06-15,474185.77497225563
2024-06-16,454814.54503825324
2024-06-17,758472.3915369599
2024-06-18,821008.8260452361
2024-06-19,609746.9702756439
2024-06-20,628069.2379212937
2024-06-21,690343.1010582402
2024-06-22,359700.48632529244
2024-06-23,353770.2179674989
2024-06-24,925990.5733968756
2024-06-25,623516.001908275
2024-06-26,715028.2460590538
2024-06-27,1233709.8578172876
2024-06-28,769974.2814501364
2024-06-29,453278.1154200645
2024-06-30,373215.58124920074
2024-07-01,664824.9094207407
2024-07-02,634181.7302529368
2024-07-03,737649.903165091
2024-07-04,877950.0856658455
2024-07-05,985468.7603002188
2024-07-06,538826.2525571422
2024-07-07,533550.1174036232
2024-07-08,935000.1551629842
2024-07-09,824292.2881126952
2024-07-10,844390.2236383794
2024-07-11,797491.7239768648
2024-07-12,737689.7545291341
2024-07-13,539295.236907781
2024-07-14,546352.0973618035
2024-07-15,949798.7348089385
2024-07-16,1134659.5369925136
2024-07-17,829500.0765502488
2024-07-18,533194.4690520968
2024-07-19,771739.4505843178
2024-07-20,561826.616081152
2024-07-21,471373.39699835575
2024-07-22,815937.4946262932
2024-07-23,973410.9132304033
2024-07-24,745063.0967000404
2024-07-25,751925.9667200702
2024-07-26,601086.6006133643
2024-07-27,578532.6297704261
2024-07-28,375782.4973593945
2024-07-29,896257.3144037754
2024-07-30,972379.7669231046
2024-07-31,997889.2028141295
2024-08-01,788137.9786033568
2024-08-02,1120076.901190885
2024-08-03,467914.8866632341
2024-08-04,592390.125489552
2024-08-05,1370350.9497311546
2024-08-06,978189.0008762769
2024-08-07,937516.4679963785
2024-08-08,859135.9292223909
2024-08-09,892589.6714940596
2024-08-10,526274.100263021
2024-08-11,584557.931587841
2024-08-12,833850.8439280546
2024-08-13,896759.4993924444
2024-08-14,923991.5116174663
2024-08-15,714878.2601329201
2024-08-16,701799.7184806219
2024-08-17,405116.2983378342
2024-08-18,451915.53168809536
2024-08-19,849720.353683547
2024-08-20,830009.6634203588
2024-08-21,781119.8391507821
2024-08-22,765833.869082293
2024-08-23,896157.7622464913
2024-08-24,562329.3162806712
2024-08-25,495582.6330328778
2024-08-26,772019.2490151818
2024-08-27,1105505.3645173218
2024-08-28,998514.3397864904
2024-08-29,776508.8093392404
2024-08-30,722284.1211368316
2024-08-31,406793.945279639
2024-09-01,818583.1489947678
2024-09-02,727106.5901439863
2024-09-03,981662.620964347
2024-09-04,939135.9779528662
2024-09-05,843929.2857137045
2024-09-06,909143.94937774
2024-09-07,459439.5357786654
2024-09-08,541227.7433864755
2024-09-09,900739.6685396094
2024-09-10,1390978.7504865625
2024-09-11,1247406.4959816544
2024-09-12,1056147.749002315
2024-09-13,1159566.175678689
2024-09-14,671503.56581834
2024-09-15,584990.2480000239
2024-09-16,936148.3291176587
2024-09-17,847849.2549602628
2024-09-18,824060.477294145
2024-09-19,878617.918176683
2024-09-20,980010.4798542134
2024-09-21,415896.3973294178
2024-09-22,409556.78358135984
2024-09-23,752214.3509765241
2024-09-24,835934.2250878342
2024-09-25,816864.2504929238
2024-09-26,841504.9019745147
2024-09-27,807629.0527876107
2024-09-28,462447.36368116224
2024-09-29,489295.6332156256
2024-09-30,986218.9624079608
2024-10-01,901439.0871405173
2024-10-02,793759.0977704676
2024-10-03,885924.1692823414
2024-10-04,803081.1071951699
2024-10-05,421546.66184817435
2024-10-06,562927.3264257278
2024-10-07,999221.2514549243
2024-10-08,1068668.007048818
2024-10-09,812270.1903557988
2024-10-10,642151.5196266883
2024-10-11,639706.0537096191
2024-10-12,386993.7441375372
2024-10-13,362310.3545843108
2024-10-14,605963.0413767822
2024-10-15,836341.90135389
2024-10-16,701874.9673499214
2024-10-17,592975.5383560109
2024-10-18,657453.9189112573
2024-10-19,380312.4138809915
2024-10-20,371365.76986347215
2024-10-21,660253.1279021731
2024-10-22,672533.2845571071
2024-10-23,531297.6086798153
2024-10-24,582509.7414604152
