Date,etf_true
2024-01-11,26.6299991607666
2024-01-12,24.969999313354492
2024-01-16,24.719999313354492
2024-01-17,24.40999984741211
2024-01-18,23.34000015258789
2024-01-19,23.799999237060547
2024-01-22,22.950000762939453
2024-01-23,22.31999969482422
2024-01-24,22.600000381469727
2024-01-25,22.760000228881836
2024-01-26,23.989999771118164
2024-01-29,24.670000076293945
2024-01-30,24.8799991607666
2024-01-31,24.299999237060547
2024-02-01,24.540000915527344
2024-02-02,24.5
2024-02-05,24.190000534057617
2024-02-06,24.600000381469727
2024-02-07,25.219999313354492
2024-02-08,26.030000686645508
2024-02-09,27.149999618530273
2024-02-12,28.65999984741211
2024-02-13,28.219999313354492
2024-02-14,29.549999237060547
2024-02-15,29.520000457763672
2024-02-16,29.6200008392334
2024-02-20,29.670000076293945
2024-02-21,29.079999923706055
2024-02-22,29.719999313354492
2024-02-23,29.15999984741211
2024-02-26,31.1200008392334
2024-02-27,32.59000015258789
2024-02-28,34.45000076293945
2024-02-29,35.41999816894531
2024-03-01,35.9900016784668
2024-03-04,38.650001525878906
2024-03-05,35.31999969482422
2024-03-06,38.290000915527344
2024-03-07,38.630001068115234
2024-03-08,39.54999923706055
2024-03-11,41.119998931884766
2024-03-12,40.72999954223633
2024-03-13,41.95000076293945
2024-03-14,39.5099983215332
2024-03-15,39.38999938964844
2024-03-18,38.13999938964844
2024-03-19,36.70000076293945
2024-03-20,37.54999923706055
2024-03-21,37.150001525878906
2024-03-22,36.40999984741211
2024-03-25,40.54999923706055
2024-03-26,39.630001068115234
2024-03-27,39.130001068115234
2024-03-28,40.470001220703125
2024-04-01,39.75
2024-04-02,37.599998474121094
2024-04-03,37.540000915527344
2024-04-04,39.08000183105469
2024-04-05,38.40999984741211
2024-04-08,40.95000076293945
2024-04-09,39.33000183105469
2024-04-10,40.0
2024-04-11,40.16999816894531
2024-04-12,38.13999938964844
2024-04-15,36.08000183105469
2024-04-16,35.75
2024-04-17,34.7599983215332
2024-04-18,36.209999084472656
2024-04-19,36.66999816894531
2024-04-22,37.93000030517578
2024-04-23,37.900001525878906
2024-04-24,36.40999984741211
2024-04-25,36.86000061035156
2024-04-26,36.31999969482422
2024-04-29,35.869998931884766
2024-04-30,33.56999969482422
2024-05-01,32.38999938964844
2024-05-02,33.79999923706055
2024-05-03,35.400001525878906
2024-05-06,36.0099983215332
2024-05-07,35.93000030517578
2024-05-08,35.380001068115234
2024-05-09,35.58000183105469
2024-05-10,34.58000183105469
2024-05-13,36.0
2024-05-14,35.06999969482422
2024-05-15,37.66999816894531
2024-05-16,37.150001525878906
2024-05-17,38.279998779296875
2024-05-20,39.970001220703125
2024-05-21,39.470001220703125
2024-05-22,39.709999084472656
2024-05-23,38.27000045776367
2024-05-24,39.459999084472656
2024-05-28,38.97999954223633
2024-05-29,38.31999969482422
2024-05-30,39.15999984741211
2024-05-31,38.54999923706055
2024-06-03,39.439998626708984
2024-06-04,40.16999816894531
2024-06-05,40.66999816894531
2024-06-06,40.15999984741211
2024-06-07,39.41999816894531
2024-06-10,39.59000015258789
2024-06-11,38.43000030517578
2024-06-12,38.45000076293945
2024-06-13,37.900001525878906
2024-06-14,37.29999923706055
2024-06-17,37.97999954223633
2024-06-18,36.63999938964844
2024-06-20,37.040000915527344
2024-06-21,36.58000183105469
2024-06-24,33.76499938964844
2024-06-25,35.29999923706055
2024-06-26,34.709999084472656
2024-06-27,34.97999954223633
2024-06-28,34.13999938964844
2024-07-01,36.0
2024-07-02,35.220001220703125
2024-07-03,34.439998626708984
2024-07-05,32.20000076293945
2024-07-08,32.15999984741211
2024-07-09,32.959999084472656
2024-07-10,32.66999816894531
2024-07-11,32.70000076293945
2024-07-12,32.849998474121094
2024-07-15,36.150001525878906
2024-07-16,37.16999816894531
2024-07-17,36.84000015258789
2024-07-18,36.220001220703125
2024-07-19,38.400001525878906
2024-07-22,38.93000030517578
2024-07-23,37.34000015258789
2024-07-24,37.41999816894531
2024-07-25,36.83000183105469
2024-07-26,38.790000915527344
2024-07-29,38.34000015258789
2024-07-30,37.54999923706055
2024-07-31,37.18000030517578
2024-08-01,36.06999969482422
2024-08-02,35.61000061035156
2024-08-05,30.479999542236328
2024-08-06,32.34000015258789
2024-08-07,31.190000534057617
2024-08-08,33.880001068115234
2024-08-09,34.599998474121094
2024-08-12,33.63999938964844
2024-08-13,34.63999938964844
2024-08-14,33.560001373291016
2024-08-15,32.5
2024-08-16,34.029998779296875
2024-08-19,33.619998931884766
2024-08-20,33.91999816894531
2024-08-21,35.130001068115234
2024-08-22,34.349998474121094
2024-08-23,36.279998779296875
2024-08-26,36.09000015258789
2024-08-27,35.380001068115234
