date,value
2026-05-01,35
2026-05-02,34
2026-05-03,31
2026-05-04,56
2026-05-05,62
2026-05-06,79
2026-05-07,54
2026-05-08,44
2026-05-09,42
2026-05-10,45
2026-05-11,49
2026-05-12,44
2026-05-13,47
2026-05-14,43
2026-05-15,42
2026-05-16,72
2026-05-17,48
2026-05-18,43
2026-05-19,39
2026-05-20,39
2026-05-21,36
2026-05-22,37
2026-05-23,52
2026-05-24,47
2026-05-25,37
2026-05-26,35
2026-05-27,44
2026-05-28,52
2026-05-29,44
2026-05-30,35
2026-05-31,34
2026-06-01,54
2026-06-02,70
2026-06-03,65
2026-06-04,78
2026-06-05,100
2026-06-06,78
2026-06-07,71
2026-06-08,56
2026-06-09,48
2026-06-10,56
2026-06-11,44
2026-06-12,40
2026-06-13,80
2026-06-14,62
2026-06-15,60
2026-06-16,45
2026-06-17,42
2026-06-18,43
2026-06-19,70
2026-06-20,51
2026-06-21,43
2026-06-22,97
2026-06-23,59
2026-06-24,44
2026-06-25,67
2026-06-26,68
2026-06-27,92
2026-06-28,54
2026-06-29,39
2026-06-30,47
