date,value
2022-05-01,26
2022-05-02,25
2022-05-03,23
2022-05-04,24
2022-05-05,36
2022-05-06,32
2022-05-07,26
2022-05-08,37
2022-05-09,50
2022-05-10,47
2022-05-11,68
2022-05-12,100
2022-05-13,92
2022-05-14,60
2022-05-15,48
2022-05-16,46
2022-05-17,42
2022-05-18,40
2022-05-19,38
2022-05-20,33
2022-05-21,31
2022-05-22,26
2022-05-23,31
2022-05-24,32
2022-05-25,30
2022-05-26,32
2022-05-27,32
2022-05-28,26
2022-05-29,28
2022-05-30,29
2022-05-31,30
2022-06-01,30
2022-06-02,26
2022-06-03,24
2022-06-04,23
2022-06-05,21
2022-06-06,24
2022-06-07,25
2022-06-08,23
2022-06-09,22
2022-06-10,24
2022-06-11,28
2022-06-12,38
2022-06-13,76
2022-06-14,64
2022-06-15,59
2022-06-16,44
2022-06-17,47
2022-06-18,67
2022-06-19,79
2022-06-20,52
2022-06-21,41
2022-06-22,37
2022-06-23,36
2022-06-24,32
2022-06-25,28
2022-06-26,29
2022-06-27,31
2022-06-28,31
2022-06-29,32
2022-06-30,39
2022-07-01,32
2022-07-02,28
2022-07-03,31
2022-07-04,33
2022-07-05,29
2022-07-06,28
2022-07-07,27
2022-07-08,28
2022-07-09,23
2022-07-10,27
2022-07-11,29
2022-07-12,28
2022-07-13,29
2022-07-14,25
2022-07-15,26
2022-07-16,22
2022-07-17,26
2022-07-18,30
2022-07-19,29
2022-07-20,31
2022-07-21,30
2022-07-22,24
2022-07-23,24
2022-07-24,22
2022-07-25,27
2022-07-26,24
2022-07-27,22
2022-07-28,25
2022-07-29,25
2022-07-30,24
2022-07-31,23
