date,value
2022-11-01,33
2022-11-02,36
2022-11-03,33
2022-11-04,34
2022-11-05,32
2022-11-06,32
2022-11-07,37
2022-11-08,65
2022-11-09,90
2022-11-10,100
2022-11-11,70
2022-11-12,78
2022-11-13,71
2022-11-14,88
2022-11-15,56
2022-11-16,51
2022-11-17,47
2022-11-18,42
2022-11-19,38
2022-11-20,46
2022-11-21,48
2022-11-22,43
2022-11-23,35
2022-11-24,40
2022-11-25,42
2022-11-26,37
2022-11-27,37
2022-11-28,39
2022-11-29,38
2022-11-30,38
2022-12-01,36
2022-12-02,31
2022-12-03,26
2022-12-04,32
2022-12-05,33
2022-12-06,33
2022-12-07,39
2022-12-08,40
2022-12-09,34
2022-12-10,28
2022-12-11,26
2022-12-12,36
2022-12-13,36
2022-12-14,31
2022-12-15,34
2022-12-16,38
2022-12-17,38
2022-12-18,33
2022-12-19,38
2022-12-20,36
2022-12-21,33
2022-12-22,36
2022-12-23,36
2022-12-24,26
2022-12-25,30
2022-12-26,29
2022-12-27,32
2022-12-28,41
2022-12-29,38
2022-12-30,34
2022-12-31,33
2023-01-01,32
2023-01-02,36
2023-01-03,32
2023-01-04,34
2023-01-05,31
2023-01-06,33
2023-01-07,27
2023-01-08,24
2023-01-09,35
2023-01-10,32
2023-01-11,29
2023-01-12,40
2023-01-13,40
2023-01-14,70
2023-01-15,52
2023-01-16,44
2023-01-17,39
2023-01-18,43
2023-01-19,34
2023-01-20,40
2023-01-21,45
2023-01-22,45
2023-01-23,42
2023-01-24,41
2023-01-25,41
2023-01-26,44
2023-01-27,40
2023-01-28,33
2023-01-29,43
2023-01-30,44
2023-01-31,40
