date,value
2024-11-01,14
2024-11-02,10
2024-11-03,12
2024-11-04,14
2024-11-05,15
2024-11-06,65
2024-11-07,27
2024-11-08,23
2024-11-09,20
2024-11-10,33
2024-11-11,46
2024-11-12,66
2024-11-13,49
2024-11-14,39
2024-11-15,29
2024-11-16,29
2024-11-17,24
2024-11-18,26
2024-11-19,24
2024-11-20,30
2024-11-21,47
2024-11-22,41
2024-11-23,36
2024-11-24,40
2024-11-25,33
2024-11-26,36
2024-11-27,30
2024-11-28,25
2024-11-29,28
2024-11-30,26
2024-12-01,26
2024-12-02,35
2024-12-03,100
2024-12-04,46
2024-12-05,58
2024-12-06,35
2024-12-07,32
2024-12-08,28
2024-12-09,41
2024-12-10,48
2024-12-11,39
2024-12-12,31
2024-12-13,25
2024-12-14,25
2024-12-15,29
2024-12-16,37
2024-12-17,35
2024-12-18,34
2024-12-19,38
2024-12-20,45
2024-12-21,29
2024-12-22,28
2024-12-23,33
2024-12-24,32
2024-12-25,34
2024-12-26,29
2024-12-27,27
2024-12-28,22
2024-12-29,22
2024-12-30,27
2024-12-31,26
2025-01-01,25
2025-01-02,26
2025-01-03,22
2025-01-04,24
2025-01-05,27
2025-01-06,23
2025-01-07,25
2025-01-08,26
2025-01-09,25
2025-01-10,24
2025-01-11,20
2025-01-12,19
2025-01-13,26
2025-01-14,23
2025-01-15,24
2025-01-16,22
2025-01-17,26
2025-01-18,26
2025-01-19,33
2025-01-20,46
2025-01-21,32
2025-01-22,23
2025-01-23,25
2025-01-24,20
2025-01-25,17
2025-01-26,17
2025-01-27,30
2025-01-28,21
2025-01-29,19
2025-01-30,21
2025-01-31,19
