date,value
2025-08-01,52
2025-08-02,51
2025-08-03,49
2025-08-04,51
2025-08-05,52
2025-08-06,55
2025-08-07,55
2025-08-08,54
2025-08-09,62
2025-08-10,64
2025-08-11,76
2025-08-12,69
2025-08-13,79
2025-08-14,96
2025-08-15,85
2025-08-16,74
2025-08-17,74
2025-08-18,75
2025-08-19,75
2025-08-20,62
2025-08-21,62
2025-08-22,64
2025-08-23,57
2025-08-24,59
2025-08-25,65
2025-08-26,67
2025-08-27,54
2025-08-28,51
2025-08-29,59
2025-08-30,50
2025-08-31,50
2025-09-01,53
2025-09-02,52
2025-09-03,52
2025-09-04,50
2025-09-05,51
2025-09-06,45
2025-09-07,43
2025-09-08,48
2025-09-09,47
2025-09-10,57
2025-09-11,48
2025-09-12,48
2025-09-13,45
2025-09-14,46
2025-09-15,48
2025-09-16,43
2025-09-17,46
2025-09-18,49
2025-09-19,43
2025-09-20,37
2025-09-21,40
2025-09-22,55
2025-09-23,51
2025-09-24,45
2025-09-25,49
2025-09-26,49
2025-09-27,41
2025-09-28,45
2025-09-29,49
2025-09-30,48
2025-10-01,55
2025-10-02,58
2025-10-03,58
2025-10-04,48
2025-10-05,61
2025-10-06,65
2025-10-07,59
2025-10-08,54
2025-10-09,51
2025-10-10,63
2025-10-11,100
2025-10-12,91
2025-10-13,73
2025-10-14,66
2025-10-15,62
2025-10-16,67
2025-10-17,76
2025-10-18,59
2025-10-19,56
2025-10-20,59
2025-10-21,59
2025-10-22,55
2025-10-23,52
2025-10-24,50
2025-10-25,44
2025-10-26,46
2025-10-27,52
2025-10-28,50
2025-10-29,49
2025-10-30,51
2025-10-31,48
