date,value
2023-05-01,86
2023-05-02,82
2023-05-03,82
2023-05-04,80
2023-05-05,78
2023-05-06,73
2023-05-07,72
2023-05-08,89
2023-05-09,84
2023-05-10,83
2023-05-11,82
2023-05-12,82
2023-05-13,71
2023-05-14,65
2023-05-15,71
2023-05-16,70
2023-05-17,69
2023-05-18,75
2023-05-19,71
2023-05-20,63
2023-05-21,65
2023-05-22,71
2023-05-23,72
2023-05-24,71
2023-05-25,70
2023-05-26,71
2023-05-27,63
2023-05-28,66
2023-05-29,71
2023-05-30,71
2023-05-31,70
2023-06-01,72
2023-06-02,72
2023-06-03,63
2023-06-04,62
2023-06-05,82
2023-06-06,86
2023-06-07,77
2023-06-08,72
2023-06-09,70
2023-06-10,78
2023-06-11,77
2023-06-12,76
2023-06-13,69
2023-06-14,73
2023-06-15,79
2023-06-16,75
2023-06-17,69
2023-06-18,68
2023-06-19,70
2023-06-20,75
2023-06-21,100
2023-06-22,100
2023-06-23,95
2023-06-24,86
2023-06-25,82
2023-06-26,82
2023-06-27,78
2023-06-28,84
2023-06-29,81
2023-06-30,88
2023-07-01,72
2023-07-02,77
2023-07-03,82
2023-07-04,82
2023-07-05,78
2023-07-06,89
2023-07-07,77
2023-07-08,70
2023-07-09,72
2023-07-10,80
2023-07-11,79
2023-07-12,78
2023-07-13,85
2023-07-14,91
2023-07-15,76
2023-07-16,73
2023-07-17,77
2023-07-18,77
2023-07-19,81
2023-07-20,78
2023-07-21,73
2023-07-22,65
2023-07-23,72
2023-07-24,79
2023-07-25,76
2023-07-26,74
2023-07-27,73
2023-07-28,73
2023-07-29,67
2023-07-30,66
2023-07-31,70
