Date,KOSPI_Volatility,volume_btc,bitcoin_kr
2022-11-02,21.13,9211.9399301,35.0
2022-11-03,21.21,9255.595105280001,34.0
2022-11-04,20.84,10337.8241408,34.0
2022-11-07,20.82,7115.43617207,36.0
2022-11-08,19.99,25422.98626201,63.0
2022-11-09,20.1,31587.46955968,88.0
2022-11-10,21.21,30885.29435191,100.0
2022-11-11,19.97,17939.76650454,69.0
2022-11-14,20.32,18411.048260130003,93.0
2022-11-15,19.63,9055.36451699,55.0
2022-11-16,19.87,7567.25470827,50.0
2022-11-17,20.09,5152.427625439999,48.0
2022-11-18,19.87,5215.64919646,42.0
2022-11-21,19.81,7965.90082364,47.0
2022-11-22,19.09,12264.042250120001,43.0
2022-11-23,17.92,7134.52726017,35.0
2022-11-24,16.85,6951.04272567,38.0
2022-11-25,16.97,5562.288008330001,41.0
2022-11-28,18.12,7998.788976870001,38.0
2022-11-29,17.76,5778.40643767,36.0
2022-11-30,17.78,7871.59117188,36.0
2022-12-01,17.51,6710.8288808199995,35.0
2022-12-02,18.49,5286.9823043100005,31.0
2022-12-05,17.98,6267.31791655,32.0
2022-12-06,18.19,5492.390329129999,32.0
2022-12-07,18.45,6078.284702180001,40.0
2022-12-08,18.38,4844.50097261,39.0
2022-12-09,17.57,5032.9395306999995,34.0
2022-12-12,18.52,4790.36957655,35.0
2022-12-13,19.09,8532.62131563,35.0
2022-12-14,17.27,6742.57513965,29.0
2022-12-15,16.71,6002.740402400001,31.0
2022-12-16,17.03,7869.740386470001,38.0
2022-12-19,17.6,4675.46809068,36.0
2022-12-20,17.98,6313.75593519,35.0
2022-12-21,17.62,4265.01812407,32.0
2022-12-22,16.6,4663.42348084,36.0
2022-12-23,17.43,5012.67925775,34.0
2022-12-26,17.46,4646.54248053,29.0
2022-12-27,17.09,4833.53035576,32.0
2022-12-28,17.53,5936.22310451,40.0
2022-12-29,18.4,5043.85360025,36.0
2023-01-02,18.85,4614.9411584,37.0
2023-01-03,18.96,4333.06689391,30.0
