Date,value,btc_volatility
2024-01-12,63,0.1291409270063926
2024-01-16,38,0.148543272673676
2024-01-17,35,0.14773688020158104
2024-01-18,35,0.14800351926497696
2024-01-19,35,0.1502538292088411
2024-01-22,36,0.14694549701631607
2024-01-23,39,0.15532176300144562
2024-01-24,33,0.15466369982043712
2024-01-25,32,0.15416174469479652
2024-01-26,30,0.1521307869020663
2024-01-29,28,0.15585428221588274
2024-01-30,30,0.15855258861310936
2024-01-31,28,0.15871230697565916
2024-02-01,26,0.15259755742213957
2024-02-02,26,0.15203990971494488
2024-02-05,25,0.14142003578791223
2024-02-06,26,0.14135477711218283
2024-02-07,25,0.14170218542482274
2024-02-08,31,0.12803184856485955
2024-02-09,38,0.12871131526734791
2024-02-12,43,0.1098096584638564
2024-02-13,49,0.11486958226138552
2024-02-14,49,0.11185317672901694
2024-02-15,47,0.11768176859433886
2024-02-16,40,0.11676906448316775
2024-02-20,35,0.11162186931313041
2024-02-21,34,0.11198776912988932
2024-02-22,32,0.10018367685040507
2024-02-23,31,0.10037944358681249
2024-02-26,38,0.09112182466212017
2024-02-27,63,0.1050270018367579
2024-02-28,96,0.11448696021633939
2024-02-29,88,0.1431708024465456
2024-03-01,63,0.14457360779091932
2024-03-04,89,0.1464904472930379
2024-03-05,100,0.1664902618156965
2024-03-06,76,0.18008672094824255
2024-03-07,63,0.18354053344269416
2024-03-08,65,0.18369841446089866
2024-03-11,84,0.17712664910817708
2024-03-12,74,0.18197969732981956
2024-03-13,70,0.18185726097297325
2024-03-14,63,0.1800783885241163
2024-03-15,69,0.18155627999830473
2024-03-18,51,0.1947917970700725
2024-03-19,69,0.19488514607352345
2024-03-20,63,0.21357583973297736
2024-03-21,52,0.23228304846405531
2024-03-22,51,0.2347871068927562
2024-03-25,53,0.24046106345519425
2024-03-26,49,0.24320468332891607
2024-03-27,46,0.2431833321875523
2024-03-28,47,0.23752225213768524
2024-03-29,43,0.23384484112059198
2024-04-01,53,0.21515207097700295
2024-04-02,65,0.21629406523613312
2024-04-03,56,0.22454782375609067
2024-04-04,53,0.21025984729753777
2024-04-05,50,0.20207119362394632
2024-04-08,58,0.19845347268374058
2024-04-09,51,0.2010336488564068
2024-04-10,52,0.20401326942672876
2024-04-11,53,0.20027937192975437
2024-04-12,57,0.2002257196612861
2024-04-15,67,0.20754417073657785
2024-04-16,62,0.20117283705690098
2024-04-17,63,0.1960013830507892
