Date,KOSPI_Volatility,volume_btc,bitcoin_kr
2022-11-22,19.09,4830.10682581,43
2022-11-23,17.92,4524.89351291,35
2022-11-24,16.85,4151.70054394,38
2022-11-25,16.97,3000.13344954,41
2022-11-28,18.12,3579.0905705,38
2022-11-29,17.76,2523.90821039,36
2022-11-30,17.78,4690.57520524,36
2022-12-01,17.51,3278.51519679,35
2022-12-02,18.49,2707.54917012,31
2022-12-05,17.98,3649.93086302,32
2022-12-06,18.19,2826.97261012,32
2022-12-07,18.45,3381.14787642,40
2022-12-08,18.38,2658.30122236,39
2022-12-09,17.57,2349.72627368,34
2022-12-12,18.52,2436.29764131,35
2022-12-13,19.09,5226.52781477,35
2022-12-14,17.27,4041.5227297,29
2022-12-15,16.71,2875.73302095,31
2022-12-16,17.03,4660.97070297,38
2022-12-19,17.6,3169.23383434,36
2022-12-20,17.98,3084.65713734,35
2022-12-21,17.62,2014.94764474,32
2022-12-22,16.6,2511.79402989,36
2022-12-23,17.43,2253.90628813,34
2022-12-26,17.46,2548.57785278,29
2022-12-27,17.09,2842.5245103,32
2022-12-28,17.53,3151.28076106,40
2022-12-29,18.4,2464.45782163,36
2023-01-02,18.85,2578.84453056,37
2023-01-03,18.96,2097.6153058,30
2023-01-04,18.17,2479.24818185,33
2023-01-05,17.85,3563.01023528,32
2023-01-06,17.74,3285.37671627,32
2023-01-09,18.48,3454.03347779,34
2023-01-10,18.22,2628.4345643,31
2023-01-11,17.98,3066.63549183,29
2023-01-12,18.34,7650.90163135,38
2023-01-13,17.19,6444.40501392,39
2023-01-16,16.88,5477.23271265,43
2023-01-17,16.85,3964.85483208,39
2023-01-18,16.8,8246.64292241,42
2023-01-19,16.89,3265.22551081,34
2023-01-20,16.81,6019.1130748,41
2023-01-25,16.84,6714.84384155,40
2023-01-26,16.53,4523.70646705,44
2023-01-27,16.86,4064.65143245,40
2023-01-30,17.38,6952.22920216,43
2023-01-31,17.75,4605.2685438,39
2023-02-01,17.54,5637.91674767,72
2023-02-02,17.08,6298.03336104,77
2023-02-03,17.01,4743.68642573,68
2023-02-06,17.55,12169.80778483,74
2023-02-07,17.31,16246.13827362,70
2023-02-08,17.5,9798.40627898,60
2023-02-09,17.95,12573.15274824,72
2023-02-10,17.53,5826.76054517,68
2023-02-13,18.23,5446.98588992,60
2023-02-14,18.52,8113.17147525,64
2023-02-15,18.18,12911.88082878,74
2023-02-16,17.84,12781.37026202,100
2023-02-17,18.23,9141.33783666,69
2023-02-20,18.64,8070.98678492,68
2023-02-21,18.89,9416.92852949,76
2023-02-22,19.56,7731.25766663,72
2023-02-23,18.99,6836.96402152,68
2023-02-24,18.81,6775.08622994,69
2023-02-27,19.38,4718.97425586,60
2023-02-28,18.53,3593.40757255,61
2023-03-02,18.31,4579.43771609,59
2023-03-03,17.69,7298.81785293,87
2023-03-06,17.18,2405.78623199,55
2023-03-07,16.95,7624.3543545,59
2023-03-08,17.21,5501.29398149,51
2023-03-09,16.53,9841.87622634,60
2023-03-10,17.56,9730.63224025,78
2023-03-13,18.2,13888.83820988,90
2023-03-14,21.11,17872.07887712,100
2023-03-15,18.75,11093.60434797,78
2023-03-16,19.97,6814.43349526,73
2023-03-17,18.26,15037.60037165,87
2023-03-20,20.62,10244.52549002,88
2023-03-21,19.51,8735.63835041,85
2023-03-22,18.29,10824.6208617,81
2023-03-23,17.97,7303.53058862,80
2023-03-24,17.59,6250.39620254,75
2023-03-27,17.97,6840.88977652,75
2023-03-28,16.81,5170.6862286,70
2023-03-29,16.15,6442.79756739,78
2023-03-30,15.7,7063.16532492,69
2023-03-31,15.57,5856.70049497,64
2023-04-03,15.88,5344.45562792,69
2023-04-04,15.22,3443.09664449,66
2023-04-05,15.36,4804.31754606,62
2023-04-06,15.87,3265.19567389,61
2023-04-07,15.35,2191.38552697,57
2023-04-10,15.72,6752.314109,61
2023-04-11,15.62,8105.88458258,88
2023-04-12,15.82,10654.2856421,74
2023-04-13,15.52,5171.072562,63
2023-04-14,15.42,5561.14402059,72
2023-04-17,15.49,5420.85725888,56
2023-04-18,15.17,4976.83151258,58
2023-04-19,14.86,6118.4824719,75
2023-04-20,14.63,5515.28188385,66
2023-04-21,14.62,5934.6195108,68
2023-04-24,14.86,3663.66031754,61
2023-04-25,15.02,4364.40529023,63
2023-04-26,15.09,9856.33566991,77
2023-04-27,14.86,6531.80659225,62
2023-04-28,14.51,3370.00926689,59
2023-05-02,14.21,4771.65437011,73
2023-05-03,15.09,5239.85097463,74
2023-05-04,15.27,4027.302864,78
2023-05-08,14.87,5517.37518721,90
2023-05-09,14.39,3678.21436045,93
2023-05-10,14.77,4525.28287987,93
2023-05-11,14.31,3570.39137727,83
2023-05-12,13.93,5478.83968294,83
2023-05-15,13.81,2671.26583258,60
2023-05-16,13.59,2091.33896506,65
2023-05-17,13.52,3207.18978344,60
2023-05-18,13.54,3396.67093837,57
2023-05-19,14.13,2587.51450694,57
2023-05-22,14.74,2597.92192199,52
2023-05-23,14.56,2510.27578792,50
2023-05-24,14.87,4471.51960065,55
2023-05-25,15.07,3394.73741865,50
2023-05-26,14.96,2369.1616222,52
2023-05-30,14.79,3280.20536471,61
2023-05-31,14.8,3833.61770267,56
2023-06-01,14.35,3403.84008073,45
2023-06-02,13.96,3129.38244663,49
2023-06-05,14.08,6815.06312451,63
2023-06-07,13.71,4520.05491026,59
2023-06-08,13.44,2370.31995071,49
2023-06-09,13.16,2335.69270285,42
2023-06-12,13.45,2362.40456114,51
2023-06-13,13.76,3607.81851265,55
2023-06-14,13.55,4128.49087432,58
2023-06-15,13.25,3841.66442528,65
2023-06-16,13.13,3402.6450261,57
2023-06-19,13.35,2502.20113191,46
2023-06-20,13.02,5488.63849039,62
2023-06-21,13.36,10873.38440224,79
2023-06-22,13.24,6599.23054561,84
2023-06-23,13.04,8004.81933949,76
2023-06-26,13.46,4959.92502999,67
2023-06-27,13.18,4130.90265871,59
2023-06-28,13.1,2988.75782373,58
2023-06-29,12.93,3490.48826462,59
2023-06-30,12.59,8585.54386205,80
2023-07-03,12.73,3276.85791261,61
2023-07-04,12.27,3230.33213385,55
2023-07-05,12.37,3595.75188599,54
2023-07-06,12.98,5759.5913,60
2023-07-07,14.58,2687.61579838,52
2023-07-10,14.63,2829.62290954,48
2023-07-11,13.82,2541.05729369,52
2023-07-12,13.76,3241.64008104,51
2023-07-13,13.25,7976.01139394,73
2023-07-14,13.19,5755.46123676,75
2023-07-17,13.21,2582.39550489,51
2023-07-18,13.07,2601.55598996,55
2023-07-19,12.91,2432.74678152,55
2023-07-20,13.22,3246.54052293,54
2023-07-21,13.35,2103.13941171,43
2023-07-24,14.12,4398.31412006,59
2023-07-25,14.08,2433.9221882,52
2023-07-26,14.53,2477.2628933,56
2023-07-27,13.9,3271.72655723,49
2023-07-28,14.15,2964.5947422,42
2023-07-31,14.21,2383.01012579,45
2023-08-01,14.06,3035.90069302,37
2023-08-02,15.36,3344.79997698,34
2023-08-03,15.88,2032.73569956,30
2023-08-04,15.55,2256.9466739,29
2023-08-07,15.71,7095.41631462,38
2023-08-08,15.4,3956.68315457,35
2023-08-09,14.15,3299.56867529,32
2023-08-10,14.0,2713.94553163,29
2023-08-11,13.44,1877.91210358,35
2023-08-14,14.14,2247.99874816,31
2023-08-16,15.15,4144.93132559,39
2023-08-17,15.57,9224.23479462,47
2023-08-18,16.03,9256.75234641,59
2023-08-21,16.03,2142.99960623,33
2023-08-22,15.33,2434.37426024,42
2023-08-23,14.97,2242.66645398,33
2023-08-24,13.94,1899.01993705,32
2023-08-25,14.86,2117.11461503,33
2023-08-28,14.18,1815.49057785,32
2023-08-29,13.49,6996.57927831,44
2023-08-30,13.05,4503.91825355,37
2023-08-31,12.78,5086.6186881,39
2023-09-01,12.53,5520.94616028,35
2023-09-04,12.49,3280.50767726,32
