Date,Hash Rate (TH/s),Unique Addresses
2024-01-12,611297254.2857933,596693.0
2024-01-16,454834266.5816914,569684.0
2024-01-17,440279570.0510773,647470.0
2024-01-18,516691726.83680135,678147.0
2024-01-19,480304985.51026607,627719.0
2024-01-22,559487254.5869052,620801.0
2024-01-23,538506482.5398962,600773.0
2024-01-24,524519301.1752236,564400.0
2024-01-25,632919956.7514365,573766.0
2024-01-26,531512891.8575599,683719.0
2024-01-29,545500073.2222326,697324.0
2024-01-30,503538529.1282147,687547.0
2024-01-31,458080189.69302857,622142.0
2024-02-01,535009687.19872814,680097.0
2024-02-02,676117474.0216229,691810.0
2024-02-05,585504349.682417,525379.0
2024-02-06,638049611.833403,521338.0
2024-02-07,600517281.7255559,640781.0
2024-02-08,517946155.488292,547079.0
2024-02-09,623036679.7902641,615935.0
2024-02-12,671828708.9304657,649038.0
2024-02-13,506686456.4559378,589286.0
2024-02-14,521699388.4990767,586548.0
2024-02-15,605343973.9976323,612859.0
2024-02-16,544386616.4219546,613011.0
2024-02-20,572824723.2499672,638563.0
2024-02-21,560636963.180819,630339.0
2024-02-22,548449203.1116709,642155.0
2024-02-23,645951283.6648567,679759.0
2024-02-26,540324029.7322387,620435.0
2024-02-27,524073682.9733743,674490.0
2024-02-28,605325416.7676959,763915.0
2024-02-29,540324029.7322387,772702.0
2024-03-01,608054004.3789,771270.0
2024-03-04,508849652.0134983,664743.0
2024-03-05,658743347.9554589,772888.0
2024-03-06,552239932.41775,681667.0
2024-03-07,710022770.2513928,714978.0
2024-03-08,607463925.659525,716770.0
2024-03-11,670577060.7929822,684136.0
2024-03-12,556184503.3635911,677201.0
2024-03-13,631131351.3345715,710767.0
2024-03-14,579720256.0482558,663447.0
2024-03-15,529980321.6844611,749328.0
2024-03-18,600922569.4689952,673489.0
2024-03-19,655172523.6571684,755218.0
2024-03-20,621787936.4644464,639266.0
2024-03-21,500768807.8908293,611408.0
2024-03-22,563364908.877183,679058.0
2024-03-25,550845688.6799122,623335.0
2024-03-26,559191835.4780927,648004.0
2024-03-27,567537982.2762733,637151.0
2024-03-28,630675249.3060845,696012.0
2024-03-29,595046224.9834774,659374.0
2024-04-01,619839817.691122,648777.0
2024-04-02,611575286.7885739,685496.0
2024-04-03,586781694.0809289,714141.0
2024-04-04,570252632.2758324,655509.0
2024-04-05,611575286.7885739,643705.0
2024-04-08,652897941.3013152,685180.0
2024-04-09,603310755.8860255,683771.0
2024-04-10,626404079.729565,703704.0
2024-04-11,566860609.5352726,631803.0
2024-04-12,584038203.763614,683741.0
2024-04-15,605510196.549041,666015.0
2024-04-16,708575761.9190906,743368.0
2024-04-17,588332602.3206996,661886.0
2024-04-18,622687790.7773827,670913.0
2024-04-19,648454182.1198951,727141.0
2024-04-22,652748580.6769805,534717.0
2024-04-23,721458957.5903468,441797.0
2024-04-24,671772263.1512126,632356.0
2024-04-25,630674365.8262494,633650.0
2024-04-26,578118168.6740619,664327.0
2024-04-29,573738485.5780463,603796.0
2024-04-30,617535316.5382024,635509.0
2024-05-01,578118168.6740619,587665.0
2024-05-02,635054048.9222649,528151.0
2024-05-03,564979119.3860149,537019.0
2024-05-06,534321337.7139056,466177.0
2024-05-07,534321337.7139056,495831.0
2024-05-08,556219753.1939834,514675.0
2024-05-09,613867438.0566123,513026.0
2024-05-10,599332437.5790136,474605.0
2024-05-13,607599091.8904481,466123.0
2024-05-14,562132493.1775575,458041.0
2024-05-15,582799128.9561441,516619.0
2024-05-16,586932456.1118613,494221.0
2024-05-17,640665709.1361867,514199.0
2024-05-20,644799036.2919042,482108.0
2024-05-21,570399147.4889922,508542.0
2024-05-22,632399054.8247522,491272.0
2024-05-23,706194547.0096976,533345.0
2024-05-24,671140034.7624127,483309.0
2024-05-28,562079779.1135205,448181.0
2024-05-29,574663654.7653158,449070.0
2024-05-30,515938901.7236049,499634.0
2024-05-31,620804532.1552316,528690.0
2024-06-03,658556159.1106174,482689.0
2024-06-04,562079779.1135205,492874.0
2024-06-05,515938901.7236049,460473.0
2024-06-06,554910858.050012,476121.0
