Date,KOSPI_Volatility,volume_btc,bitcoin_kr
2024-01-12,16.77,25500.48719051,56.57924038611113
2024-01-16,17.18,11536.05824039,26.483899755200955
2024-01-17,19.31,10605.981846390001,25.28008612996455
2024-01-18,18.32,12094.239572819999,22.872458879491735
2024-01-19,17.64,16856.2672982,21.668645254255328
2024-01-22,18.01,13598.823141010002,26.483899755200955
2024-01-23,17.39,19178.58008636,30.09534063091018
2024-01-24,17.07,13025.119865050001,21.668645254255328
2024-01-25,16.92,9498.40846178,19.261018003782514
2024-01-26,16.96,13066.76438447,18.057204378546107
2024-01-29,17.27,9384.903927989999,14.445763502836886
2024-01-30,17.11,11582.50060934,15.649577128073293
2024-01-31,17.02,10497.583926629999,15.649577128073293
2024-02-01,16.79,10116.89016116,12.867914560667067
2024-02-02,17.79,11781.807426970001,14.154706016733773
2024-02-05,18.06,8753.55641307,14.154706016733773
2024-02-06,17.59,6331.985793510001,14.154706016733773
2024-02-07,17.62,6715.43751712,15.44149747280048
2024-02-08,17.24,8052.544837220001,20.588663297067306
2024-02-09,17.5,12730.82209669,25.735829121334135
2024-02-12,17.759999999999998,9394.38565068,27.02262057740084
2024-02-13,18.02,11798.994184160001,27.02262057740084
2024-02-14,17.98,12470.29936637,30.88299494560096
2024-02-15,17.79,12505.72319932,33.45657785773437
2024-02-16,17.41,8228.273801379999,24.449037665267426
2024-02-20,18.09,8219.4267265,24.449037665267426
2024-02-21,18.5,7047.79502064,20.588663297067306
2024-02-22,18.22,5617.04571793,20.588663297067306
2024-02-23,18.31,5274.10243455,21.87545475313401
2024-02-26,17.94,8064.81313246,23.16224620920072
2024-02-27,17.16,15691.27265812,43.75090950626802
2024-02-28,16.83,24304.000576190003,77.2074873640024
2024-02-29,16.77,21386.71093094,87.50181901253605
2024-03-01,17.049999999999997,8904.03786972,45.03770096233473
2024-03-04,17.33,15774.861580460001,69.48673862760216
2024-03-05,17.13,26574.45016074,119.67160541420371
2024-03-06,17.25,17813.164638759998,77.2074873640024
2024-03-07,17.25,7584.19963243,52.75844969873497
